"name","category","evas","longitude","latitude"
"Bad Kohlgrub Kurhaus",7,"08000717",11.039181,47.670213
"Bad Kreuznach",3,"08000021",7.866435,49.842399
"Bad Krozingen",4,"08000718",7.697632,47.919721
"Bad König",6,"08000715",9.001539,49.738577
"Bad König-Zell",7,"08006643",8.9940396,49.7197089
"Bad Kösen",5,"08010019",11.718274,51.130742
"Bad Köstritz",6,"08011074",12.028452,50.93159
"Bad Kötzting",6,"08003393",12.851892,49.17292
"Bad Langensalza",4,"08010020",10.640671,51.101701
"Bad Lausick",5,"08011077",12.648695,51.143803
"Bad Lauterberg im Harz Barbis",7,"08005324",10.414607,51.619024
"Bad Liebenwerda",7,"08011078",13.40293,51.518401
"Bad Liebenzell",6,"08000721",8.734039,48.772578
"Bad Lobenstein",6,"08013452",11.6418064,50.452415
"Bad Malente-Gremsmühlen",5,"08003829",10.55151,54.167014
"Bad Münder (Deister)",5,"08000725",9.468062,52.178192
"Bad Münster am Stein",4,"08000726",7.846989,49.813426
"Bad Münstereifel",6,"08000727",6.764369,50.558914
"Bad Münstereifel Arloff",7,"08000601",6.786608,50.597676
"Bad Münstereifel-Iversheim",6,"08003104",6.769162,50.583034
"Bad Nauheim",4,"08000728",8.749334,50.367904
"Bad Nenndorf",5,"08000022",9.378603,52.343735
"Bad Neuenahr",5,"08000729",7.14403152,50.5476559
"Bad Neustadt (Saale)",5,"08000730",10.226134,50.328127
"Bad Niedernau",6,"08000731",8.896533,48.460766
"Bad Oeynhausen",3,"08000732",8.796523,52.205398
"Bad Oeynhausen Süd",6,"08000733",8.801723,52.197127
"Bad Oldesloe",2,"08000023",10.3825414,53.8053902
"Bad Peterstal",6,"08000734",8.201948,48.428895
"Bad Pyrmont",5,"08000735",9.272719,51.974233
"Bad Rappenau",5,"08000736",9.101529,49.237765
"Bad Rappenau Kurpark",6,"08000777",9.113526,49.240371
"Bad Reichenhall",5,"08000737",12.881825,47.731168
"Bad Reichenhall-Kirchberg",6,"08000738",12.874001,47.718538
"Bad Rodach (b Coburg)",6,"08005112",10.778387,50.336986
"Bad Saarow",7,"08011079",14.064929,52.293253
"Bad Sachsa",6,"08000739",10.573211,51.581944
"Bad Salzdetfurth",7,"08000740",10.005595,52.062635
"Bad Salzdetfurth-Solebad",7,"08000759",10.018916,52.06994
"Bad Salzhausen",6,"08000741",8.9799875,50.4187643
"Bad Salzschlirf",6,"08000743",9.494484,50.626935
"Bad Salzuflen",6,"08000744",8.740428,52.081628
"Bad Salzuflen-Sylbach",7,"08005810",8.765529,52.026884
"Bad Salzungen",6,"08010021",10.2294302,50.8149107
"Bad Sassendorf",6,"08000745",8.162439,51.587168
"Bad Saulgau",6,"08005301",9.501083,48.013593
"Bad Schandau",3,"08010022",14.1375375,50.9192886
"Bad Schussenried",5,"08000746",9.668497,47.994033
"Bad Schwartau",5,"08000749",10.702722,53.916276
"Bad Schönborn Kronau",6,"08004032",8.646821,49.219345
"Bad Schönborn Süd",4,"08003533",8.641924,49.200001
"Bad Sebastiansweiler-Belsen",7,"08000750",9.030023,48.395566
"Bad Segeberg",6,"08000751",10.308163,53.933805
"Bad Sobernheim",5,"08005583",7.649816,49.78285
"Bad Soden (Taunus)",5,"08000752",8.50442648,50.1429607
"Bad Soden-Salmünster",5,"08005261",9.372053,50.280742
"Bad Sooden-Allendorf",6,"08000753",9.968696,51.267974
"Bad St Peter Süd",7,"08000754",8.648041,54.30501
"Bad St Peter-Ording",6,"08000755",8.614736,54.317293
"Bad Staffelstein",5,"08005670",10.994239,50.108258
"Bad Steben",7,"08000756",11.64677,50.365095
"Bad Sulza",6,"08011085",11.634595,51.094767
"Bad Sulza Nord",7,"08011086",11.6283,51.097428
"Bad Säckingen",5,"08005255",7.94863,47.555857
"Bad Teinach-Neubulach",7,"08000757",8.727148,48.67847
"Bad Tölz",6,"08000758",11.57394,47.760578
"Bad Vilbel",3,"08000760",8.73955965,50.1885876
"Bad Vilbel Süd",5,"08000761",8.73322695,50.1785849
"Bad Vilbel-Gronau",6,"08002382",8.783203,50.191529
"Bad Waldsee",6,"08000763",9.752274,47.925244
"Bad Wilsnack",6,"08011088",11.949344,52.960229
"Bad Wimpfen",6,"08000765",9.167297,49.229744
"Bad Wimpfen im Tal",6,"08000706",9.187046,49.229848
